,Runs,BF,SR,4s,6s
3000,0.16981508089856392,-0.44636834451247315,3.4473793513593773,-0.7191465199607918,1.4365117094799011
3001,-0.3275722862303658,-0.502633261887995,1.4146455543766365,-0.7191465199607918,0.13059197358908187
3002,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3003,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3004,2.70196894991857,1.6354335983818344,1.3714269267227936,1.9776529298921777,3.3953913133161295
3005,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3006,-0.553657453107152,-0.502633261887995,0.0889207797188781,-0.7191465199607918,-0.5223678943563277
3007,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3008,0.16981508089856392,0.3976054161203542,0.29082866289925474,-0.04494665749754948,0.13059197358908187
3009,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3010,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3011,-0.734525586608581,-0.6151630966390387,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3012,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3013,0.12459804752320668,0.22881066399378874,0.42764345964393535,-0.04494665749754948,0.13059197358908187
3014,3.0184881835460704,2.929526698018836,0.6954398641248025,2.6518527923554203,2.74243144537072
3015,0.16981508089856392,0.6789300029979634,0.048088456659419174,0.6292532049656929,-0.5223678943563277
3016,2.7924030166692844,3.267116202271967,0.46449860837942103,2.6518527923554203,2.0894715774253108
3017,1.1193727817810661,1.4666388462552689,0.3872088540168737,-0.04494665749754948,1.4365117094799011
3018,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3019,-0.011053052602865066,0.11628082924274509,0.3540657346504298,-0.04494665749754948,0.13059197358908187
3020,0.6219854146521364,0.9602545898755724,0.31124482442898416,0.6292532049656929,0.13059197358908187
3021,-0.37278931960572304,-0.44636834451247315,0.7959298020438608,-0.04494665749754948,-0.5223678943563277
3022,-0.28235525285500856,-0.22130867501038587,0.3540657346504298,0.6292532049656929,-0.5223678943563277
3023,-0.37278931960572304,-0.502633261887995,1.1495005994450849,-0.04494665749754948,-0.5223678943563277
3024,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3025,-0.5988744864825093,-0.44636834451247315,-0.3087966526784494,-0.7191465199607918,-0.5223678943563277
3026,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3027,-0.10148711935357956,0.060015911867223264,0.2656398921807573,-0.7191465199607918,0.13059197358908187
3028,-0.3275722862303658,-0.05251392288382038,-0.053859778511762414,-0.04494665749754948,-0.5223678943563277
3029,-0.734525586608581,-0.7276929313900823,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3030,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3031,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3032,0.21503211427392116,0.453870333495876,0.2937452574035018,-0.04494665749754948,-0.5223678943563277
3033,0.21503211427392116,0.3976054161203542,0.3540657346504298,0.6292532049656929,-0.5223678943563277
3034,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3035,-0.734525586608581,-0.7839578487656041,-0.9716590400073286,-0.7191465199607918,-0.5223678943563277
3036,-0.011053052602865066,0.3413404987448324,0.0889207797188781,1.9776529298921777,-0.5223678943563277
3037,1.300240915282495,0.453870333495876,1.7399784140776502,0.6292532049656929,2.74243144537072
3038,-0.40364830287604136,-0.3140548773093259,-0.08624872099470421,-0.44088059952454284,-0.6758453353343745
3039,-1.2456424704799327,-1.413246947891967,-2.4679965593152513,-1.2124216486924928,-0.6758453353343745
3040,-0.6951078224312346,-0.7596732843022884,0.15101091851353304,-0.44088059952454284,-0.6758453353343745
3042,1.5070307697635583,1.8249134762568942,0.17507582480651165,0.7164309742273821,0.585732623956458
3043,-0.17695756544422447,-0.07639172691307923,0.017467635704611007,-0.44088059952454284,0.585732623956458
3044,0.017348780925904323,-0.5814259215051034,2.2527923822143605,0.7164309742273821,0.585732623956458
3045,-0.824645386677987,-0.6705496029036959,-0.7054963801112033,-0.44088059952454284,-0.6758453353343745
3046,0.8593429485297958,0.785137193273315,0.5089340318288167,0.7164309742273821,0.585732623956458
3047,-0.5008014760611058,-0.2843469835097951,-0.416717504595463,-0.055110074940567834,-0.6758453353343745
3048,-1.051336124109804,-1.234999585094782,0.9214268622309949,-0.8266511241085178,-0.6758453353343745
3049,-0.07980439225916007,0.012731954485513276,0.07407100684443338,-0.055110074940567834,-0.6758453353343745
3050,-1.2456424704799327,-1.234999585094782,-2.4679965593152513,-1.2124216486924928,-0.6758453353343745
3054,0.08211756304928058,0.2801029986812908,-0.03032323453919095,0.3306604496434072,-0.6758453353343745
